uen,registration_year,primary_ssic_code,postal_code
201908808K,2019,47,579722
53353829K,2017,41,402001
53369535W,2017,49,600372
201812954C,2018,43,409015
201731240Z,2017,46,658065
201812948M,2018,31,409015
53394275J,2019,46,310156
53354758W,2017,81,761505
53384259W,2018,56,768428
53359911C,2017,47,179098
53379681D,2018,95,737853
201907706W,2019,46,128383
201733229E,2017,70,159546
201832634H,2018,86,238884
53370613X,2017,68,187966
201918950Z,2019,56,169650
T19LL0350J,2019,47,531991
201730007Z,2017,47,089053
201919291R,2019,41,208511
53397051B,2019,49,510229
53401467D,2019,70,534035
53405800X,2019,74,521896
201906050W,2019,46,310183
53381164C,2018,47,437910
53362849X,2017,49,520112
201923080D,2019,43,670116
201910279K,2019,70,101070
201800528W,2018,56,571273
53396937M,2019,46,768159
53377416X,2018,82,239924
201715719C,2017,47,757087
201911976R,2019,46,764334
53390426M,2018,49,389783
201842673G,2018,62,608526
201823085N,2018,46,409051
T17LP0172E,2017,18,730719
53353426K,2017,25,409625
201701510K,2017,46,408898
201924434W,2019,70,138695
201712543R,2017,47,218285
201835909W,2018,46,179098
53386465L,2018,96,120354
201817220Z,2018,47,763431
53374430W,2017,49,567701
201730727G,2017,46,079903
201725347W,2017,60,327814
53401162D,2019,93,641218
201723526W,2017,47,127744
53385233A,2018,74,544649
53400923M,2019,82,608586
201823178H,2018,90,459700
53360940B,2017,85,409051
53380796D,2018,46,409572
53395838E,2019,70,760308
201926924K,2019,47,322116
53372545C,2017,23,522524
201806266C,2018,70,408868
53383541X,2018,43,760125
53397742L,2019,38,718788
53394049D,2019,70,369977
201902185Z,2019,30,208444
201719126Z,2017,70,048581
201708810H,2017,66,068602
201735255M,2017,56,188613
53403881J,2019,47,560430
53381749L,2018,66,455287
T18LL0690H,2018,73,387721
53357744J,2017,49,828733
53392732C,2019,49,644273
53394910J,2019,47,670538
201822093H,2018,70,529948
201816231G,2018,86,596730
201819640R,2018,74,179934
53399195A,2019,43,470628
201722096W,2017,64,238909
201918717R,2019,46,179098
53379478A,2018,96,729908
201929417G,2019,47,068914
201709258R,2017,86,600135
53394635B,2019,74,510241
53406758A,2019,47,640709
201817736K,2018,56,530526
201709141M,2017,82,540229
201906037H,2019,62,051531
201710410W,2017,96,520406
201837095K,2018,41,198725
53377311C,2018,59,680535
53379660A,2018,81,729933
201910387R,2019,47,169905
201709249N,2017,47,518183
53379263X,2018,20,571273
201934952M,2019,70,349693
53381956C,2018,96,556115
53392316J,2019,70,596744
201729918D,2017,64,049712
201834499D,2018,46,828820
201917167R,2019,62,048545
201922834D,2019,46,079903
53405412M,2019,85,751589
201713827N,2017,46,320002
201824915M,2018,56,309489
201713257E,2017,43,530650
201915382D,2019,85,439895
201823394Z,2018,93,268893
T19LL1069G,2019,74,729680
53385984X,2018,47,279062
53403915D,2019,70,389493
201701270D,2017,64,455243
201904415G,2019,71,169204
201730671K,2017,70,079903
201931783D,2019,66,059413
201939716W,2019,46,415874
53389122A,2018,46,310008
T18LL0350D,2018,47,339158
53402374J,2019,30,768130
53391526X,2018,69,670439
201934562G,2019,47,267952
201732489N,2017,47,609966
201940537R,2019,72,188655
201927405Z,2019,62,650537
53396639J,2019,85,138684
53382410M,2018,47,809694
53359655J,2017,96,681690
53355739M,2017,59,408729
201900737M,2019,81,543301
53383225W,2018,47,099309
53370199J,2017,96,730721
201923835K,2019,85,209208
53405200B,2019,77,731306
201700945E,2017,43,209264
201823628W,2018,43,465489
201725687M,2017,41,208450
53355344W,2017,49,601318
53402059C,2019,95,737855
